unit12,grammarId,originalNo,sourceUnit_原18単元,displayExpression,role(要人間),linkedMissionIds(要人間),orderingReason
8,n2g-106,106,11単元,〜にあたって,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-107,107,11単元,〜において,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-108,108,11単元,〜に応じては,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-109,109,11単元,〜にかかわらず,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-110,110,11単元,〜に限って,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-111,111,12単元,〜に限る,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-112,112,12単元,〜にかけては,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-113,113,12単元,〜に決まっている,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-114,114,12単元,〜に加えて,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-115,115,12単元,〜に越したことはない,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-116,116,12単元,〜に応えて,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-117,117,12単元,〜に際して,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-118,118,12単元,〜に先立って,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-119,119,12単元,〜に従って,,,原本番号順の仮配置（機能別再編は要人間）
8,n2g-120,120,12単元,〜にしたら,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-121,121,13単元,〜にしては,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-122,122,13単元,〜にしても,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-123,123,13単元,〜に過ぎない,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-124,124,13単元,〜に相違ない,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-125,125,13単元,〜に沿って,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-126,126,13単元,〜に違いない,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-127,127,13単元,〜につき,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-128,128,13単元,〜につけ,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-129,129,13単元,〜に伴って,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-130,130,13単元,〜に反して,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-131,131,14単元,〜にほかならない,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-132,132,14単元,〜にもかかわらず,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-133,133,14単元,〜に基づいて,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-134,134,14単元,〜にわたって,,,原本番号順の仮配置（機能別再編は要人間）
9,n2g-135,135,14単元,〜抜きでは,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-136,136,14単元,〜抜く,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-137,137,14単元,〜のみならず,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-138,138,14単元,〜のもとで,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-139,139,14単元,〜はおろか,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-140,140,14単元,〜ばかりか,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-141,141,15単元,〜ばかりに,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-142,142,15単元,〜はともかくとして,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-143,143,15単元,〜は別として,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-144,144,15単元,〜ば〜ほど,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-145,145,15単元,〜はもちろん/もとより,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-146,146,15単元,〜反面,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-147,147,15単元,〜べき,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-148,148,15単元,〜ほか（は）ない/よりほかはない,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-149,149,15単元,〜ほど,,,原本番号順の仮配置（機能別再編は要人間）
10,n2g-150,150,15単元,〜まい,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-151,151,16単元,〜ままに,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-152,152,16単元,〜もかまわず,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-153,153,16単元,〜も当然だ,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-154,154,16単元,〜も〜なら〜も,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-155,155,16単元,〜ものか/もんか,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-156,156,16単元,〜ものがある,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-157,157,16単元,〜ものだ,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-158,158,16単元,〜ものだから,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-159,159,16単元,〜ものではない,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-160,160,16単元,〜ものなら,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-161,161,17単元,〜ものの,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-162,162,17単元,〜矢先に,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-163,163,17単元,〜やら〜やら,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-164,164,17単元,〜ようがない,,,原本番号順の仮配置（機能別再編は要人間）
11,n2g-165,165,17単元,〜ようで,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-166,166,17単元,〜ようでは,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-167,167,17単元,〜ようなら（ば）,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-168,168,17単元,〜わけがない,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-169,169,17単元,〜わけだ,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-170,170,17単元,〜わけではない,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-171,171,18単元,〜わけにはいかない,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-172,172,18単元,〜わりには,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-173,173,18単元,〜を中心に,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-174,174,18単元,〜を通じて,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-175,175,18単元,〜を問わず,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-176,176,18単元,〜を除いては,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-177,177,18単元,〜をはじめ,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-178,178,18単元,〜を踏まえて,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-179,179,18単元,〜をめぐって,,,原本番号順の仮配置（機能別再編は要人間）
12,n2g-180,180,18単元,〜をもとにして,,,原本番号順の仮配置（機能別再編は要人間）
